Politician,Issuer,PublishedDate,TradedDate,DaysAfter,Owner,Type,SizeRange,Price
Mike KellyRepublicanHousePA,STATE OF CALIFORNIAN/A,10 Jan2025,2 Dec2024,days38,Spouse,sell,1K–15K,N/A
Mike KellyRepublicanHousePA,STATE OF MISSISSIPPIN/A,10 Jan2025,27 Dec2024,days13,Spouse,buy,15K–50K,N/A
Guy ReschenthalerRepublicanHousePA,BITCOIN$BTC,10 Jan2025,23 Dec2024,days17,Undisclosed,buy,1K–15K,"$94,686.20"
Guy ReschenthalerRepublicanHousePA,SOLANA$SOL,10 Jan2025,11 Dec2024,days29,Undisclosed,buy,1K–15K,$227.45
Guy ReschenthalerRepublicanHousePA,RIPPLE XRP$XRP,10 Jan2025,11 Dec2024,days29,Undisclosed,buy,1K–15K,$2.40
Lloyd DoggettDemocratHouseTX,The Coca-Cola CoKO:US,9 Jan2025,16 Dec2024,days23,Undisclosed,buy,1K–15K,$62.55
Lloyd DoggettDemocratHouseTX,The Home Depot IncHD:US,9 Jan2025,12 Dec2024,days27,Undisclosed,buy,1K–15K,$414.42
Lloyd DoggettDemocratHouseTX,International Business Machines CorpIBM:US,9 Jan2025,10 Dec2024,days29,Undisclosed,buy,1K–15K,$231.72
Lloyd DoggettDemocratHouseTX,Johnson & JohnsonJNJ:US,9 Jan2025,10 Dec2024,days29,Undisclosed,buy,1K–15K,$149.23
Lloyd DoggettDemocratHouseTX,PPG Industries IncPPG:US,9 Jan2025,12 Dec2024,days27,Undisclosed,buy,1K–15K,$124.02
Sheldon WhitehouseDemocratSenateRI,NVIDIA CorporationNVDA:US,8 Jan2025,6 Jan2025,days2,Self,sell,15K–50K,$149.43
Sheldon WhitehouseDemocratSenateRI,Lam Research CorpLRCX:US,8 Jan2025,19 Dec2024,days20,Self,sell,15K–50K,$71.21
Sheldon WhitehouseDemocratSenateRI,Apple IncAAPL:US,8 Jan2025,19 Dec2024,days20,Self,sell,15K–50K,$249.79
Laurel LeeRepublicanHouseFL,TUHURA BIOSCIENCES INCHURA:US,8 Jan2025,25 Nov2024,days43,Spouse,buy,1K–15K,N/A
Laurel LeeRepublicanHouseFL,Warner Bros Discover IncWBD:US,8 Jan2025,29 Nov2024,days39,Spouse,sell,1K–15K,$10.48
Virginia FoxxRepublicanHouseNC,AbbVie IncABBV:US,7 Jan2025,6 Dec2024,days31,Undisclosed,buy,1K–15K,$176.19
Virginia FoxxRepublicanHouseNC,Alliance Resource Partners LPARLP:US,7 Jan2025,6 Dec2024,days31,Undisclosed,sell,15K–50K,$26.47
Virginia FoxxRepublicanHouseNC,American Electric Power Co IncAEP:US,7 Jan2025,6 Dec2024,days31,Undisclosed,buy,1K–15K,$95.85
Virginia FoxxRepublicanHouseNC,Amgen IncAMGN:US,7 Jan2025,6 Dec2024,days31,Undisclosed,buy,1K–15K,$272.58
Virginia FoxxRepublicanHouseNC,ARDMORE SHIPPING CORPASC:US,7 Jan2025,6 Dec2024,days31,Undisclosed,sell,15K–50K,$11.33
Virginia FoxxRepublicanHouseNC,AT&T IncT:US,7 Jan2025,6 Dec2024,days31,Undisclosed,sell,50K–100K,$21.15
Virginia FoxxRepublicanHouseNC,Bristol-Myers Squibb CoBMY:US,7 Jan2025,6 Dec2024,days31,Undisclosed,buy,1K–15K,$59.38
Virginia FoxxRepublicanHouseNC,Duke Energy CorpDUK:US,7 Jan2025,6 Dec2024,days31,Undisclosed,buy,1K–15K,$112.10
Virginia FoxxRepublicanHouseNC,ELLINGTON FINANCIAL INCEFC:US,7 Jan2025,30 Dec2024,days7,Undisclosed,buy,1K–15K,$23.99
Virginia FoxxRepublicanHouseNC,Energy Transfer LPET:US,7 Jan2025,6 Dec2024,days31,Undisclosed,sell,15K–50K,$19.26
Virginia FoxxRepublicanHouseNC,FLEX LNG LTDFLNG:US,7 Jan2025,6 Dec2024,days31,Undisclosed,sell,15K–50K,$21.93
Virginia FoxxRepublicanHouseNC,Johnson & JohnsonJNJ:US,7 Jan2025,6 Dec2024,days31,Undisclosed,buy,1K–15K,$149.31
Virginia FoxxRepublicanHouseNC,Pembina Pipeline CorpPBA:US,7 Jan2025,6 Dec2024,days31,Undisclosed,sell,50K–100K,$39.44
Virginia FoxxRepublicanHouseNC,Public StoragePSA:US,7 Jan2025,6 Dec2024,days31,Undisclosed,buy,1K–15K,$334.00
Virginia FoxxRepublicanHouseNC,Via Renewables IncVIA:US,7 Jan2025,6 Dec2024,days31,Undisclosed,sell,50K–100K,$22.14
